artist_name,artist_id,track_name,track_id,ff,track_popularity,artist_followers,artist_popularity,artist_genres
Xdinary Heroes,1khChLj7REGqjM043PlYyn,Paranoid,1FDncYodOcfTivPnCjBpU1,1,55,862401,57,['k-pop boy group']
EXO,3cjEqqelV9zb4BYE3qDQ4O,No Makeup,3pT5BuUxD9wwpyR3F6u92U,1,56,9788318,68,"['k-pop', 'k-pop boy group']"
B.I,0UntV1Bw2hk3fbRrm9eMP6,Dare to Love (feat. BIG Naughty),6odZjB2Z1T2iJTf5bbqUIe,1,57,742421,60,['k-pop']
IVE,6RHTUrRF63xao58xh9FXYJ,Shine With Me,3L7pilDxJhZz1fP6t4D9P9,1,57,3202857,74,['k-pop girl group']
Crush,6aLdhHUqgdKE86xbtNmY8g,EZPZ,110LVdohDJs6uoD06s6j5D,1,49,1174984,63,"['k-pop', 'korean r&b']"
Crush,6aLdhHUqgdKE86xbtNmY8g,Monday Blues,3ZUc4amdm0wIfNbfOsnSFn,1,49,1174984,63,"['k-pop', 'korean r&b']"
Kep1er,5R7AMwDeroq6Ls0COQYpS4,Back to the City,2Zx7YnpyTsQvjAf9elDsgX,1,53,1375828,57,['k-pop']
THE BOYZ,0CmvFWTX9zmMNCUi6fHtAx,Escape,00t6jLC9nXx8GtaagqXeSG,1,52,2763302,58,"['k-pop', 'k-pop boy group']"
Epik High,5snNHNlYT2UrtZo5HCJkiw,Catch (Feat. Hwa Sa),6Uvj0I6nDoxTmIZQwOZqvQ,1,52,739992,56,"['k-pop', 'k-rap', 'korean old school hip hop']"
Crush,6aLdhHUqgdKE86xbtNmY8g,New Day,1E6BTmdtHAqbsF3kfTcI1j,1,49,1174984,63,"['k-pop', 'korean r&b']"
Crush,6aLdhHUqgdKE86xbtNmY8g,Deep End (Feat. AMAKA),2aO9G7A9GKuymsU6BYZTFI,1,49,1174984,63,"['k-pop', 'korean r&b']"
BIG Naughty,7cEaNXXTHx3LokbjUUyHal,Daylight,47IR3M0E9QwPoYsdIKwVpr,1,60,342682,56,['k-pop ballad']
Stray Kids,2dIgFjalVxs4ThymZ67YCE,Scars,0iWdGvKnDkTOG6VCQQJIL0,1,55,13545818,82,"['k-pop', 'k-pop boy group', 'pop']"
BIG Naughty,7cEaNXXTHx3LokbjUUyHal,Vancouver 2,2fiI6e0WxyZB3QnmRxYGPg,1,57,342682,56,['k-pop ballad']
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Seven (feat. Latto) (Island Mix),3OqmZ2v1ljFsPwhlKYRSmz,1,56,11467146,89,['k-pop']
P1Harmony,3JjvsPeGMbDJqsphe2z8xU,Love Me For Me,4x9XxT8Ix9FK7iHClslnCg,1,51,898940,56,"['k-pop', 'k-pop boy group']"
Mahmoud Al Turky,1GVRoyErxhZGdvmOKGO7W7,Asheq Majnoon,5orvt7dTDRMeAnP0xw5GEV,1,61,622393,45,"['arab pop', 'khaleeji iraqi', 'khaliji']"
P1Harmony,3JjvsPeGMbDJqsphe2z8xU,More Than Words,23z6cVGSolbKjBZ58cAdpC,1,50,898940,56,"['k-pop', 'k-pop boy group']"
CIX,1lHfzEkKmmvdVDDDLKkcsd,"Save me, Kill me",0Z5gF9M35PmrQooN2lDlkK,1,55,603866,46,['k-pop']
Xdinary Heroes,1khChLj7REGqjM043PlYyn,Man in the Box,3MQsY7Kjs0jw25AvqatkQU,1,55,862401,57,['k-pop boy group']
THE NEW SIX,0DRiXmEOc6dJ6Rug3xi4HZ,Kick It 4 Now,5oyt64vcLF0MwDq5XNgx86,1,54,153969,42,['k-pop boy group']
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Seven (feat. Latto) (Festival Mix),79DU9AWxpMpKsGS5yps6sp,1,56,11467146,89,['k-pop']
Xdinary Heroes,1khChLj7REGqjM043PlYyn,Bad Chemical,4wVgYaExlt4G7oBBMYcWTO,1,54,862401,57,['k-pop boy group']
ENHYPEN,5t5FqBwTcgKTaWmfEbwQY9,Bite Me - Japanese Ver.,0INxaaPlo9DnT0OYEzHdsk,1,58,7105008,77,"['anime', 'k-pop boy group']"
Crush,6aLdhHUqgdKE86xbtNmY8g,A Man Like Me,6SKDNyyewsiFTNbVt2DDmI,1,48,1174984,63,"['k-pop', 'korean r&b']"
NCT DREAM,1gBUSTR3TyDdTVFIaQnc02,Best Friend Ever,1Z5Dmg7Dvu0X4oSdqLZ3Lu,1,58,7391266,70,['k-pop boy group']
KISS OF LIFE,4TEK9tIkcoxib4GxT3O4ky,Says It,76QiMQU5Nu61OWrxbp6RI8,1,54,288714,60,['k-pop girl group']
B.I,0UntV1Bw2hk3fbRrm9eMP6,4 Letters,66bhW33qGtoNu3LQM5W70Z,1,53,742421,60,['k-pop']
aespa,6YVMFz59CuY7ngCxTxjpxE,We Go,7hxvMTEUOXEKDZ3nnUqbdJ,1,56,4110265,75,['k-pop girl group']
KISS OF LIFE,4TEK9tIkcoxib4GxT3O4ky,Bad News (ENG Ver.),67deH3jRhQXDBmNKIvb2PV,1,54,288714,60,['k-pop girl group']
NCT U,3paGCCtX1Xr4Gx53mSeZuQ,Interlude: Oasis,5vJQ9vMJUE585xcIC5RPW9,1,43,4231252,64,"['k-pop', 'k-pop boy group']"
Stray Kids,2dIgFjalVxs4ThymZ67YCE,CHILL -Japanese ver.-,77hrd0E1jOlJ4Gw5Dqzyoz,1,56,13545818,82,"['k-pop', 'k-pop boy group', 'pop']"
KISS OF LIFE,4TEK9tIkcoxib4GxT3O4ky,Gentleman,5JjVCxjqX1zwZc5MRa39ly,1,53,288714,60,['k-pop girl group']
TEMPEST,1iyFL3CRuKW7PXgPH4VxSP,Vroom Vroom,0MHiMXXoCcgzZVk33HLWmL,1,65,171610,49,['k-pop boy group']
SUNMI,6MoXcK2GyGg7FIyxPU5yW6,?ïÏßà (Call my name),3616bZAuzinwxMPqj4RmRg,1,52,2662439,57,['k-pop']
B.I,0UntV1Bw2hk3fbRrm9eMP6,All shook up (feat. AGNEZ MO),7BUK2H9KPXadsqsPP0Vl3f,1,52,742421,60,['k-pop']
VIVIZ,7Lq3yAtwi0Z7zpxEwbQQNZ,Overflow,0gXnPSw0oZxoJdbNulAG3b,1,54,385003,56,"['k-pop', 'k-pop girl group']"
Crush,6aLdhHUqgdKE86xbtNmY8g,SHE,2ayE0A2tlGTLLtmcKxU34g,1,47,1174984,63,"['k-pop', 'korean r&b']"
TAEYONG,6SKusTjOAPsTZ6kareKQdm,"Swipe (Prod. C-Young, Alawn)",2ltAOiSmMdUu3tVQSJVReP,1,57,1211332,57,['k-pop']
NCT DREAM,1gBUSTR3TyDdTVFIaQnc02,Broken Melodies,5XbMuDOEeZV7S9qXS6yl6N,1,42,7391266,70,['k-pop boy group']
SEVENTEEN,7nqOGRxlXj7N2JYbgNEjYH,Sara Sara,7blRMabWMREl9clNkAhvFS,1,55,10621758,78,"['k-pop', 'k-pop boy group']"
j-hope,0b1sIQumIAsNbqAoIClSpy,#NAME?,0uTKGno7UM5vOgdjYHCnYC,1,56,16590748,68,"['k-pop', 'k-rap']"
Tech N9ne,6UBA15slIuadJ8h2lPRPos,W H A T (We're Hungry And Thirsty),1xchavtkdRjf2oPqfbWebo,1,46,2744091,65,"['detroit hip hop', 'kansas city hip hop', 'pop rap']"
Dreamcatcher,5V1qsQHdXNm4ZEZHWvFnqQ,REASON,2oljPlhOzzWrqkTuAhKwzi,1,53,1294697,60,"['k-pop', 'k-pop girl group']"
TREASURE,3KonOYiLsU53m4yT7gNotP,MOVE (T5),6ce3rQ3j3vfRics2YiHWbW,1,49,3141331,66,['k-pop boy group']
xikers,6QHP8St0MzfNDqjKpwtMht,HOMEBOY,2OdKV7e53hgK7Rr2ptQiww,1,50,277703,49,['k-pop boy group']
D.O.,2CQZr2RPZmrcvDnaod1ldC,Lost - Acoustic Version,5Y0HMEyzbmVdD5xudJSOrm,1,57,1842035,64,['k-pop']
NCT DOJAEJUNG,0W0w607z3JEA1vXLz9FVGw,Dive,7MosmUFQt3qNapB3K2zk1x,1,53,291926,52,['k-pop boy group']
KISS OF LIFE,4TEK9tIkcoxib4GxT3O4ky,Countdown (BELLE Solo),3pJbio7BQLvqNne62Xe73I,1,54,288714,60,['k-pop girl group']
ODD EYE CIRCLE (ARTMS),10NiYZbV1kGr5cBygKTS5J,My Secret Playlist,241vibLZjx7i0TfOSDzUzN,1,50,123407,45,['k-pop girl group']
ONEUS,3CVYSpM7nfHFG5qCTW7Ht9,ERASE ME,1K2cYJekjVTqjSPJdLhGQB,1,53,928869,53,"['k-pop', 'k-pop boy group']"
ODD EYE CIRCLE (ARTMS),10NiYZbV1kGr5cBygKTS5J,Lucid,46Vm2wvfccoRaUyMoPDEuR,1,49,123407,45,['k-pop girl group']
Golden Child,5zShiwTHlygdfsXj6eavTu,Feel me,3hUmntqwqsjG9PJjih9OIT,1,55,655426,42,"['k-pop', 'k-pop boy group']"
SHAUN,72nLe76yBFSlP6VBzME358,Steal The Show,2xGRrcajSvRlBbAXds2l7u,1,56,380315,56,['k-pop']
Jack Harlow,2LIk90788K0zvyj2JJVwkJ,They Don't Love It,4YnazaBNYt86O9KhwjH9NA,1,52,3164524,82,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']"
NMIXX,28ot3wh4oNmoFOdVajibBl,My Gosh,34UmtfADjmo12Jek6LpzQe,1,52,2131236,63,"['k-pop', 'k-pop girl group']"
ITZY,2KC9Qb60EaY0kW4eH68vr3,Sugar-holic,1Vh2ekniDHYgEsQGX76VXt,1,51,6307930,70,"['k-pop', 'k-pop girl group']"
JOOHONEY,4rpOWirhzqN7NPgRX76l1k,FREEDOM,5UA91Wf0dAxnCPbFdJJv0a,1,52,304206,39,['k-pop']
KANGDANIEL,5vGoWnZO65NBgiZYBmi3iW,SOS,3x9zIsVAQUNvU3J2tR58Di,1,61,878384,50,['k-pop']
MISAMO,0IwZVmMMGE7nNXS7vN9SIo,It's not easy for you,1qNk7XPTbyuO4bsDl0T6nN,1,55,502490,57,['k-pop girl group']
LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,The World Is My Oyster (2023 Ver.),2JGsTyLC4gLCWXVmvUn5Wi,1,53,3614292,76,['k-pop girl group']
Jackson Wang,1kfWoWgCugPkyxQP8lkRlY,Cheetah,76WMXf8zWfpNLgOZbU2ej8,1,53,4130039,60,['k-pop']
(G)I-DLE,2AfmfGFbe0A0WsTYm0SDTx,Peter Pan,4QbdGSGyECE7IRtjolOkjO,1,54,7944655,73,['k-pop girl group']
Tech N9ne,6UBA15slIuadJ8h2lPRPos,Tell Everyone,2URpmILVPQ3tUe4g0DATNk,1,46,2744091,65,"['detroit hip hop', 'kansas city hip hop', 'pop rap']"
