artist_name,artist_id,track_name,track_id,track_popularity,artist_popularity,artist_genres,artist_followers
IVE,6RHTUrRF63xao58xh9FXYJ,Blue Blood,2avdbiswb0d5AFmyyz68xP,64,74,['k-pop girl group'],3202857
SEVENTEEN,7nqOGRxlXj7N2JYbgNEjYH,Dust,7v8v911KfBuFkqXvuDOtNm,65,78,"['k-pop', 'k-pop boy group']",10621758
VIVIZ,7Lq3yAtwi0Z7zpxEwbQQNZ,Untie,2tEuf4YE9NbDO39DI35QZd,63,56,"['k-pop', 'k-pop girl group']",385003
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Standing Next to You (Future Funk Remix),0nCAwowgJ2bV2g5EOE67Yi,61,89,['k-pop'],11467146
FIFTY FIFTY,4GJ6xDCF5jaUqD6avOuQT6,Tell Me,5CA3D0Tch1x4sky45aOcEq,59,69,['k-pop girl group'],1384578
SEVENTEEN,7nqOGRxlXj7N2JYbgNEjYH,God of Music (Inst.),0Qaw6haFnOnzDxQvXnxmGG,65,78,"['k-pop', 'k-pop boy group']",10621758
Jay Park,4XDi67ZENZcbfKnvMnTYsI,妳在哪裡 (WYA),4WOBcLq8VFP4xWLyNMAotu,62,63,"['k-pop', 'k-rap', 'korean r&b']",2042673
(G)I-DLE,2AfmfGFbe0A0WsTYm0SDTx,Flip It,0W3ekPhkpDFjAym6E5RdPM,62,73,['k-pop girl group'],7944655
ONEUS,3CVYSpM7nfHFG5qCTW7Ht9,Baila Conmigo,3KXqLK4qPxr6qlrfzVVmNY,62,53,"['k-pop', 'k-pop boy group']",928869
FIFTY FIFTY,4GJ6xDCF5jaUqD6avOuQT6,Barbie Dreams (feat. Kaliii),7F3q1XtxXjKFoTyo14fGQn,60,69,['k-pop girl group'],1384578
TOMORROW X TOGETHER,0ghlgldX5Dd6720Q3qFyQB,Back for More (with Anitta) (Performance Ver.),5z8PXrhJszWg8ejJ5alWo3,63,76,"['k-pop', 'k-pop boy group']",9109873
Kep1er,5R7AMwDeroq6Ls0COQYpS4,Galileo,2nehY8ewjt4clnD40SclwM,62,57,['k-pop'],1375828
