summonerName,championName,win,kills,deaths,assists,totalDamageDealtToChampions,allInPings,assistMePings,baitPings,baronKills,basicPings,bountyLevel,champExperience,champLevel,championId,championTransform,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,detectorWardsPlaced,doubleKills,dragonKills,eligibleForProgression,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,participantId,pentaKills,perks,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,placement,playerAugment1,playerAugment2,playerAugment3,playerAugment4,playerSubteamId,profileIcon,pushPings,puuid,quadraKills,riotIdName,riotIdTagline,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,subteamPlacement,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerId,summonerLevel,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,12AssistStreakCount,abilityUses,acesBefore15Minutes,alliedJungleMonsterKills,baronTakedowns,blastConeOppositeOpponentCount,bountyGold,buffsStolen,completeSupportQuestInTime,controlWardsPlaced,damagePerMinute,damageTakenOnTeamPercentage,dancedWithRiftHerald,deathsByEnemyChamps,dodgeSkillShotsSmallWindow,doubleAces,dragonTakedowns,earliestBaron,earlyLaningPhaseGoldExpAdvantage,effectiveHealAndShielding,elderDragonKillsWithOpposingSoul,elderDragonMultikills,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,epicMonsterStolenWithoutSmite,firstTurretKilled,firstTurretKilledTime,flawlessAces,fullTeamTakedown,gameLength,getTakedownsInAllLanesEarlyJungleAsLaner,goldPerMinute,hadOpenNexus,immobilizeAndKillWithAlly,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,junglerTakedownsNearDamagedEpicMonster,kTurretsDestroyedBeforePlatesFall,kda,killAfterHiddenWithAlly,killParticipation,killedChampTookFullTeamDamageSurvived,killingSprees,killsNearEnemyTurret,killsOnOtherLanesEarlyJungleAsLaner,killsOnRecentlyHealedByAramPack,killsUnderOwnTurret,killsWithHelpFromEpicMonster,knockEnemyIntoTeamAndKill,landSkillShotsEarlyGame,laneMinionsFirst10Minutes,laningPhaseGoldExpAdvantage,legendaryCount,lostAnInhibitor,maxCsAdvantageOnLaneOpponent,maxKillDeficit,maxLevelLeadLaneOpponent,mejaisFullStackInTime,moreEnemyJungleThanOpponent,multiKillOneSpell,multiTurretRiftHeraldCount,multikills,multikillsAfterAggressiveFlash,outerTurretExecutesBefore10Minutes,outnumberedKills,outnumberedNexusKill,perfectDragonSoulsTaken,perfectGame,pickKillWithAlly,playedChampSelectPosition,poroExplosions,quickCleanse,quickFirstTurret,quickSoloKills,riftHeraldTakedowns,saveAllyFromDeath,scuttleCrabKills,shortestTimeToAceFromFirstTakedown,skillshotsDodged,skillshotsHit,snowballsHit,soloBaronKills,soloKills,stealthWardsPlaced,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,takedownOnFirstTurret,takedowns,takedownsAfterGainingLevelAdvantage,takedownsBeforeJungleMinionSpawn,takedownsFirstXMinutes,takedownsInAlcove,takedownsInEnemyFountain,teamBaronKills,teamDamagePercentage,teamElderDragonKills,teamRiftHeraldKills,teleportTakedowns,tookLargeDamageSurvived,turretPlatesTaken,turretTakedowns,turretsTakenWithRiftHerald,twentyMinionsIn3SecondsCount,twoWardsOneSweeperCount,unseenRecalls,visionScoreAdvantageLaneOpponent,visionScorePerMinute,wardTakedowns,wardTakedownsBefore20M,wardsGuarded,,,,,,
asdjipadsjip,Volibear,TRUE,8,4,6,27559,0,16,0,0,0,5,15946,16,106,0,12,6,2124,9630,2124,40451,0,3,1,0,TRUE,18,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,11923,10425,0,TOP,0,1,0,1056,0,3065,6662,3110,3158,3364,21,2,TOP,0,5,2,541,70428,10345,5986,1,0,0,0,0,0,0,28,1,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8008, 'var1': 148, 'var2': 23, 'var3': 0}, {'perk': 8009, 'var1': 2130, 'var2': 0, 'var3': 0}, {'perk': 9104, 'var1': 17, 'var2': 20, 'var3': 0}, {'perk': 8299, 'var1': 1137, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8275, 'var1': 10, 'var2': 0, 'var3': 0}, {'perk': 8234, 'var1': 8658, 'var2': 0, 'var3': 0}], 'style': 8200}]}",54551,16927,20522,0,0,0,0,0,0,4663,0,Z3SEof44Z3MVQ520kPA351xv1UErQ1X6ejX-RK9JD9PueBHcXGxWbS_Jps4WnK7HQhjOuzYGg2xqEw,0,,,SOLO,0,66,122,65,5,0,6,6,4,12,KMSztWYitSpr0q6doRm7S4XAwd-6GgTpJDX_zxrkSLXHwts,418,FALSE,100,TOP,40,1564,0,129689,0,26833,0,6427,0,191,1863,96,1,0,4709,286,324,1,2,3,0,0,27,4,7,10,0,258,0,0,1,1,0,0,0,0,0.081437837,3,1057.066588,0.265601929,0,4,0,0,1,1276.019609,1208.669671,0,0,0,0,28,0,0,0,0,0,1,804.2807396,0,3,1564.316218,0,457.3293473,0,1,1,9,0,0,0,0,0,3.5,1,0.482758621,0,1,1,0,0,0,0,0,0,65,0,0,0,24,6,3,0,0,0,0,1,0,6662,0,0,0,0,0,7,1,0,0,0,0,1,0,0,4,0,0,0,3,7,0,4,0,14,0,0,3,0,0,1,0.294357666,0,1,1,0,1,2,0,8,0,0,0.473752618,1.046457301,7,2,0,
티아고 현진,Nidalee,TRUE,15,1,8,25402,1,4,0,1,0,4,14893,16,76,0,13,4,3390,31578,3390,22731,0,3,2,2,TRUE,34,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,23,15155,11675,3,JUNGLE,1,1,0,3157,1058,3041,4636,3916,3020,3364,19,2,JUNGLE,0,11,2,1282,168665,22442,7763,0,147,1,0,1,0,0,64,2,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8128, 'var1': 2353, 'var2': 24, 'var3': 0}, {'perk': 8143, 'var1': 758, 'var2': 0, 'var3': 0}, {'perk': 8136, 'var1': 16, 'var2': 30, 'var3': 0}, {'perk': 8105, 'var1': 13, 'var2': 5, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8232, 'var1': 3, 'var2': 30, 'var3': 0}, {'perk': 8210, 'var1': 9, 'var2': 0, 'var3': 0}], 'style': 8200}]}",17110,1320,21262,0,0,0,0,0,0,6271,2,HNQS9bY6stzmYyXLG5caRtyJY72XbeGC8zo0wp_p7AbdzkSa27uY7YPYrLiLQnZvNSnevANORFjWEQ,0,,,NONE,0,291,309,198,341,0,4,4,16,11,FDmsKE1AgMQ5Bq3CgbQy2TpA7Kim--A29kRqdCROqFi9Vi-RzCQIpy7_wQ,102,FALSE,100,JUNGLE,7,1564,83,227103,0,29452,38,21573,3269,36,145,44,5,0,41328,1638,426,2,5,3,0,0,53,3,14,20,0,1139,0,63,1,1,0,750,2,0,0.268359689,3,974.3075101,0.291527326,0,1,0,0,2,1276.019609,892.7193796,0,3269.733398,0,0,0,25,0,1,0,0,1025.335992,1,804.2807396,0,3,1564.316218,581.3000838,0,1,0,1,0,48.00000006,0,1,1,23,1,0.793103448,0,2,5,4,0,1,1,0,2,11,0,1,0,31.75000006,6,3,0,-30.50000006,0,0,2,0,4636,0,1,0,0,0,16,1,0,0,0,0,1,1,1,6,17,0,0,3,1,0,6,1,23,0,0,8,2,0,1,0.271312033,0,1,0,3,5,0,1,0,0,1.078415155,2.041042817,14,12,0,,
완벽한그는신인가,Jayce,TRUE,1,5,15,24138,0,1,0,0,0,0,13968,15,126,0,3,5,9787,12008,9787,12293,0,4,0,0,TRUE,13,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,11487,10355,0,MIDDLE,0,1,0,1055,6691,1036,2422,3042,6694,3363,20,0,MIDDLE,0,0,1,498,12573,4512,4614,0,8,0,0,1,0,0,12,3,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8230, 'var1': 15, 'var2': 0, 'var3': 0}, {'perk': 8226, 'var1': 250, 'var2': 1456, 'var3': 0}, {'perk': 8210, 'var1': 16, 'var2': 0, 'var3': 0}, {'perk': 8237, 'var1': 649, 'var2': 0, 'var3': 0}], 'style': 8200}, {'description': 'subStyle', 'selections': [{'perk': 8304, 'var1': 10, 'var2': 3, 'var3': 0}, {'perk': 8345, 'var1': 3, 'var2': 0, 'var3': 0}], 'style': 8300}]}",139725,19626,12169,0,0,0,0,0,0,23,0,ZJueH5aYIY6cuHg00W7YvnyPFBnRdVc5QCIlmffxGHk15Zgo7lWo4FWoXgQB6akhCtGPlc5tsTT0Mw,0,,,SOLO,0,128,86,82,128,0,3,12,4,4,jNZFfQGdPq5FSDdvflBFvQu_knS9VuOXtYy-EqOHoo7ylhQ,444,FALSE,100,MIDDLE,11,1564,4,152298,0,17038,0,1967,0,210,106,154,1,0,0,0,254,2,6,3,0,0,29,4,6,13,0,424,0,1,1,1,0,0,0,0,0.127178611,3,925.8336052,0.168648241,0,5,0,0,1,1276.019609,892.7193796,0,0,0,0,14,0,0,0,0,0,1,804.2807396,0,3,1564.316218,0,440.5983701,0,4,0,0,0,0,1,3.2,0,0.551724138,0,0,0,0,0,0,0,4,5,69,0,0,0,4.99999997,6,1,0,0,0,0,0,0,6691,0,0,0,0,0,13,1,0,0,0,0,0,0,1,34.0266766,2,27,0,0,0,1,5,0,4,0,16,0,0,5,0,0,1,0.257813672,0,1,0,5,6,0,9,0,0,0.257844925,1.150487063,6,3,0,,
ALLIUM,Zeri,TRUE,5,4,7,12820,0,3,0,0,0,1,12329,14,221,0,0,1,3782,18203,3782,6490,0,0,1,0,TRUE,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,11969,9775,1,BOTTOM,0,0,0,6675,1055,1053,3087,1037,3006,3363,16,1,BOTTOM,629,3,2,569,44402,5262,3239,0,17,0,0,1,0,0,10,4,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8008, 'var1': 49, 'var2': 0, 'var3': 0}, {'perk': 9101, 'var1': 733, 'var2': 2054, 'var3': 0}, {'perk': 9104, 'var1': 17, 'var2': 0, 'var3': 0}, {'perk': 8017, 'var1': 433, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8139, 'var1': 314, 'var2': 0, 'var3': 0}, {'perk': 8135, 'var1': 450, 'var2': 5, 'var3': 0}], 'style': 8100}]}",97011,7360,7203,0,0,0,0,0,0,5415,0,72MUJg-f8rEnY4WOFQWb0H51A4Mdgy6RURc3GqdImSlpNvfPiR1w2rGZqTF5uLIb18RPUrxOaQ9N9A,0,,,CARRY,0,547,44,42,4,0,5,6,3,4,uZMmtJkSOXqC9-FvMo7_Y6zCzYVB54OsIQeqU9MJ7lYWEYg,210,FALSE,100,BOTTOM,3,1564,8,147630,0,10535,2,712,0,204,115,100,1,0,6217,197,93,3,3,3,0,0,25,0,13,7,0,637,0,8,1,1,0,0,0,0,0,491.7299608,0.104283534,0,4,0,0,2,1276.019609,892.7193796,0,0,0,0,0,2,0,0,0,0,1,804.2807396,0,3,1564.316218,0,459.1063193,0,0,0,0,0,0,0,3,1,0.413793103,0,1,1,0,0,1,0,0,205,63,0,0,0,5,6,1,0,0,0,0,1,1,0,0,0,0,0,10,1,0,0,0,0,0,0,1,34.0266766,7,465,0,0,0,5,0,0,0,12,0,0,4,0,0,1,0.136930336,0,1,0,1,3,0,9,0,0,-0.186316848,0.988686709,13,9,0,,,,,
dnasojiayin7ox,Alistar,TRUE,0,5,17,3706,0,3,0,0,0,0,9509,12,12,0,18,12,286,286,286,16773,0,9,0,0,TRUE,10,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,7375,6500,0,UTILITY,0,0,0,6667,2055,3860,3158,1028,3023,3364,26,0,BOTTOM,0,0,0,506,9574,2847,4411,0,0,0,0,1,0,0,3,5,0,"{'statPerks': {'defense': 5003, 'flex': 5002, 'offense': 5007}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8351, 'var1': 48, 'var2': 737, 'var3': 0}, {'perk': 8306, 'var1': 17, 'var2': 0, 'var3': 0}, {'perk': 8316, 'var1': 734, 'var2': 0, 'var3': 0}, {'perk': 8347, 'var1': 0, 'var2': 0, 'var3': 0}], 'style': 8300}, {'description': 'subStyle', 'selections': [{'perk': 8275, 'var1': 28, 'var2': 0, 'var3': 0}, {'perk': 8234, 'var1': 7724, 'var2': 0, 'var3': 0}], 'style': 8200}]}",2736,407,12195,0,0,0,0,0,0,5875,0,REw07L0pCFgVr2WWt-E3afF5U_eIi4R4ycusOk08oDTXT3szuP7S3_WCLXrKacuauwGC5AFQEZaclw,0,,,SUPPORT,0,25,29,31,4,0,23,4,6,14,ynnyYdb0lIkBVT0rZEJOkXSw1hnzcHVlB25p86Tfr4P6FnjF3g8w-n8RYA,227,FALSE,100,UTILITY,32,1564,0,19777,0,17168,0,7768,4618,34,159,76,5,0,7467,452,561,1,3,3,0,0,46,10,2,24,1,89,0,0,1,0,0,0,0,0,0.693574887,8,142.1581708,0.16993897,0,5,0,0,0,1276.019609,0,4618.790527,0,0,48,0,0,0,0,0,1,804.2807396,0,3,1564.316218,0,282.8940074,0,9,0,0,0,0,0,3.4,1,0.586206897,0,0,0,0,0,0,0,4,0,13,0,0,0,6,6,1,0,0,0,0,0,0,6667,0,0,0,0,0,13,1,0,0,0,0,0,0,0,34.0266766,4,0,0,0,0,13,0,6,0,17,0,0,5,0,0,1,0.039586293,0,1,0,1,3,0,1,0,0,-0.287694514,1.800511322,2,2,0,,,,
qasdzxcvewz,Renekton,FALSE,3,7,1,16761,0,1,0,0,0,0,12067,14,58,0,23,4,483,3850,483,23486,0,3,0,0,TRUE,17,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,9196,9085,0,TOP,0,0,1,6630,2420,0,3047,3071,1054,3364,28,1,TOP,0,2,1,403,6121,2706,14775,0,3,0,1,0,0,0,6,6,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8010, 'var1': 643, 'var2': 0, 'var3': 0}, {'perk': 9111, 'var1': 271, 'var2': 80, 'var3': 0}, {'perk': 9104, 'var1': 18, 'var2': 50, 'var3': 0}, {'perk': 8299, 'var1': 939, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8444, 'var1': 1414, 'var2': 0, 'var3': 0}, {'perk': 8451, 'var1': 202, 'var2': 0, 'var3': 0}], 'style': 8400}]}",113486,14055,22475,0,0,0,0,0,0,3797,0,NEjDlVok4FEiOEaCEbM2gI5GCnBClCA7zyc-mET3n8oshFRhotO68rYu64a5qH0Es95uoTubYlB4YA,0,,,SOLO,0,79,25,73,8,0,3,4,3,12,ZdJNn6yDVcbZk1YmAJ37JxOCvN5T4ZKX_9P0NbP5BQViay3fl2naOP4Knw,119,FALSE,200,TOP,19,1564,0,127287,0,37937,2,9082,0,192,37,196,1,0,7680,0,686,0,0,9,0,1,18,3,5,7,0,185,0,0,0,0,0,0,0,0.865743409,3,642.8954366,0.331569833,0,7,12,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,1564.316218,0,352.73128,0,1,0,0,0,0,0,0.571428571,0,0.210526316,0,0,1,0,0,2,1,0,0,67,0,0,0,10,0,1,0,0,0,0,0,0,6630,0,1,0,0,0,1,1,0,0,0,0,1,0,0,64,0,0,0,3,4,0,0,0,4,1,0,3,0,0,0,0.238725012,0,1,0,1,0,5,9,0,0,-0.321460068,0.710063089,5,2,0,,,,,,,,
JUGKlNG,LeeSin,FALSE,6,5,4,11173,0,3,0,0,0,0,10780,13,64,0,7,10,542,21439,542,29526,0,6,1,1,TRUE,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,9951,9850,0,JUNGLE,0,0,1,2055,6630,1036,3155,3071,3047,3340,30,2,JUNGLE,0,4,2,776,32592,1726,9486,0,127,0,1,0,0,0,12,7,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8010, 'var1': 35, 'var2': 0, 'var3': 0}, {'perk': 9111, 'var1': 814, 'var2': 200, 'var3': 0}, {'perk': 9104, 'var1': 11, 'var2': 40, 'var3': 0}, {'perk': 8014, 'var1': 241, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8304, 'var1': 9, 'var2': 4, 'var3': 5}, {'perk': 8347, 'var1': 0, 'var2': 0, 'var3': 0}], 'style': 8300}]}",102807,9012,18698,0,0,0,0,0,0,3554,0,anYg6ZwyVEL5gmBYjm-izea2rA9Q1dKnXH8fcMDBSiTciKEvxMla5I6zCVOg9A2vBHNmaEc1D0onoQ,0,,,NONE,0,171,163,108,9,0,15,11,3,4,xzegWBbpnhQDIEdcx2DAF11g78u35lEv8HmJkUgX85hvOpU,473,FALSE,200,JUNGLE,17,1564,83,175853,411,28735,13,11756,0,24,533,136,1,0,40452,434,550,2,2,9,0,0,25,8,4,15,0,451,0,61,0,0,0,2,0,0.525414889,6,428.5600507,0.251144264,0,5,6,0,1,566.1312336,0,411.0924683,0,0,24,6,0,0,0,0,0,0,0,1564.316218,381.7008189,0,6,3,2,52.00000006,0,0,0,2,1,0.526315789,0,1,2,2,0,0,0,4,1,2,0,0,0,10.99999997,0,1,0,-37.00000006,0,0,1,0,6630,0,1,0,0,0,9,1,0,0,0,0,1,0,4,32,25,0,0,0,9,0,1,0,10,0,0,6,2,0,0,0.159136303,0,1,0,0,2,5,0,0,0,-0.518864155,0.982018873,4,1,0,,,,,,,
Hide on bush,Tristana,FALSE,2,6,2,13969,0,9,0,0,0,0,12118,14,18,0,25,6,3010,4276,3010,11716,0,5,0,0,TRUE,6,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,9809,9125,1,MIDDLE,0,0,1,1018,6672,0,3031,1055,3006,3363,22,0,MIDDLE,499,0,1,402,27357,2172,8208,0,6,0,1,0,0,0,11,8,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8021, 'var1': 1469, 'var2': 1152, 'var3': 0}, {'perk': 9101, 'var1': 2293, 'var2': 2421, 'var3': 0}, {'perk': 9103, 'var1': 0, 'var2': 0, 'var3': 0}, {'perk': 8014, 'var1': 165, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8446, 'var1': 1209, 'var2': 0, 'var3': 0}, {'perk': 8473, 'var1': 591, 'var2': 0, 'var3': 0}], 'style': 8400}]}",104934,11797,9206,0,0,0,0,0,0,6,0,bYb4sp0kNOvSQR_-vdeHhAZ09hXsjx0ZLbI4RkifAawfMgWFNKR9vMt-4r_sZV3dZkK-Ck1HPIU5vg,0,,,SOLO,0,40,23,44,6,0,4,12,4,4,XQxl-jtnqpm3Go0B4lfRP1de--SGKgKplmoLCssqOjTCjg,700,FALSE,200,MIDDLE,3,1564,2,132292,0,17839,2,3107,0,213,28,179,1,0,0,0,425,0,0,9,0,0,23,5,3,13,0,113,0,2,0,0,150,0,0,0.748845626,5,535.8199989,0.155914933,0,6,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,1564.316218,0,376.2629647,0,1,0,0,2.00000003,0,0,0.666666667,1,0.210526316,0,0,0,0,0,0,0,2,0,89,0,0,0,24.00000003,0,1,0,0,0,0,0,0,3031,0,1,0,0,0,2,1,0,0,0,0,0,0,0,5,0,0,0,1,7,0,0,0,4,0,0,1,0,0,0,0.198964914,0,1,0,2,0,5,9,0,0,-0.204989493,0.914649331,3,3,1,,,,,,,,
KDF 태윤,Kaisa,FALSE,7,6,5,21936,0,1,0,0,0,0,11442,14,145,0,24,3,2871,2871,2871,8558,0,2,1,0,TRUE,18,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,13493,13150,0,BOTTOM,0,0,1,1058,1058,3115,3179,6691,3006,3363,22,1,BOTTOM,0,4,2,843,25296,10998,8128,0,4,0,1,0,0,0,25,9,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 9923, 'var1': 42, 'var2': 87, 'var3': 0}, {'perk': 8139, 'var1': 675, 'var2': 0, 'var3': 0}, {'perk': 8136, 'var1': 9, 'var2': 18, 'var3': 0}, {'perk': 8135, 'var1': 320, 'var2': 4, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8304, 'var1': 8, 'var2': 1, 'var3': 5}, {'perk': 8345, 'var1': 3, 'var2': 0, 'var3': 0}], 'style': 8300}]}",120931,10392,7494,0,0,0,0,0,0,4021,0,8cIpl_Hxmpm9mDQeaDU6jC3pJvi4GtEMGQyTM3hAQyaESUwfVpbhIStaAWrWAHyFpnkZtbliiWUQ7A,0,,,CARRY,0,76,41,63,6,0,4,4,4,7,U_6faq_QCUyI1dN8rtyr8yprGvrxaJLHQt2XhSKo4lbuw3s,378,FALSE,200,BOTTOM,6,1564,0,146932,0,16179,0,3078,249,229,53,168,3,0,703,544,555,1,1,9,0,0,31,2,11,19,0,186,0,0,0,0,300,0,0,0.842756087,2,841.39056,0.141403393,0,6,15,0,0,0,249.9264832,0,0,0,0,0,0,0,0,0,0,0,1564.316218,0,517.5377248,0,0,0,0,0,0,1,2,0,0.631578947,0,1,1,1,0,1,0,0,2,74,1,0,0,41,0,2,0,0,0,0,1,0,6691,0,3,0,0,0,11,1,0,0,0,0,0,0,1,80,21,0,0,0,5,0,2,0,12,0,0,7,1,0,0,0.312431789,0,1,0,5,1,5,10,0,0,0.228979588,1.215075829,13,10,0,,,,,,,,
xiaocann,Nautilus,FALSE,1,5,10,6371,0,8,0,0,0,0,7736,11,111,0,29,16,0,2523,0,17620,0,11,0,0,TRUE,47,23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19,7000,6625,0,UTILITY,0,0,1,3001,3047,3860,2055,3067,1011,3364,29,0,BOTTOM,0,0,1,815,7253,4124,6275,2,0,0,1,0,0,0,25,10,0,"{'statPerks': {'defense': 5002, 'flex': 5003, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8351, 'var1': 80, 'var2': 599, 'var3': 0}, {'perk': 8306, 'var1': 7, 'var2': 0, 'var3': 0}, {'perk': 8316, 'var1': 514, 'var2': 0, 'var3': 0}, {'perk': 8347, 'var1': 0, 'var2': 0, 'var3': 0}], 'style': 8300}, {'description': 'subStyle', 'selections': [{'perk': 8242, 'var1': 34, 'var2': 0, 'var3': 0}, {'perk': 8473, 'var1': 428, 'var2': 0, 'var3': 0}], 'style': 8400}]}",5553,1565,7094,0,0,0,0,0,0,14,0,dFxpB-7e1bpNgTCefSx3q2BZd3SHfbQb5goDn82QytgEOn5wqSBTEsAS-ZuQQzH3kjTePJCstEQfVw,0,,,SUPPORT,0,68,35,19,4,0,10,4,6,14,LUjAXC2EVVen68FqyogWJ-z7FmTyakoGyu-wyPhxc5gYFwpojKiXxLxplg,53,FALSE,200,UTILITY,54,1564,0,21807,0,13726,0,562,0,36,273,83,1,0,9000,681,356,0,0,9,0,1,65,13,11,36,0,126,0,0,0,0,750,0,0,0.554814227,11,244.3715725,0.119967576,0,5,16,0,1,566.1312336,0,0,0,0,79,0,0,0,0,0,1,0,0,0,1564.316218,0,268.5089095,0,10,0,0,0,0,0,2.2,2,0.578947368,0,0,0,0,0,0,0,8,3,11,0,0,0,3,0,1,0,0,0,0,0,0,3001,0,1,0,0,0,10,1,0,0,0,0,0,0,0,84,17,0,0,0,25,0,0,0,11,0,0,7,0,0,0,0.090741983,0,1,0,0,0,5,0,0,0,0.40389204,2.527723545,11,7,1,,,,,,
초보메이지유저,Aatrox,FALSE,5,8,9,15538,0,0,0,0,0,0,13996,15,266,0,5,4,199,444,199,27779,0,2,0,0,TRUE,8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,10752,10800,0,TOP,0,0,2,3071,6630,3075,0,3047,0,3364,22,1,TOP,23,3,1,302,7201,3289,10377,0,4,0,1,0,0,0,3,1,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8010, 'var1': 107, 'var2': 0, 'var3': 0}, {'perk': 9111, 'var1': 983, 'var2': 280, 'var3': 0}, {'perk': 9104, 'var1': 17, 'var2': 0, 'var3': 0}, {'perk': 8299, 'var1': 338, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8473, 'var1': 830, 'var2': 0, 'var3': 0}, {'perk': 8242, 'var1': 80, 'var2': 0, 'var3': 0}], 'style': 8400}]}",107098,12248,22870,0,0,0,0,0,0,4548,0,w9rVdmC0mg_yYG3prI4UhE6n9I6EaAkZjHgTZpPIYi0r6KKS-Qfl1GzZAG7lgO_RJJevztv-fs9WFw,0,,,SOLO,0,169,44,141,10,0,5,4,5,12,GIkOBanzIACWTLc8RhE6ppait1E0DL1eoXVx48GE8n-yZqtamQdrw41gDg,151,FALSE,100,TOP,20,1743,4,137154,0,33647,0,11219,0,148,250,194,1,0,22855,0,399,0,0,11,0,0,15,2,1,7,0,364,0,6,0,0,300,0,0,0.311780741,1,534.564969,0.245171166,0,8,16,0,0,1686.322491,0,0,0,0,42,0,0,0,0,0,0,0,3,1744.077682,0,369.9181538,0,8,0,0,0,0,0,1.75,1,0.636363636,0,1,0,0,0,3,0,9,1,25,0,0,0,3,0,0,0,0,0,0,0,0,6630,0,0,0,0,0,11,1,0,0,0,0,0,0,0,81,19,0,0,1,5,0,2,0,14,0,0,4,0,0,1,0.160026934,0,0,0,1,0,0,6,0,0,0.184632659,0.544644034,1,1,0,,,,,,,
