artist_id,artist_name,artist_popularity,artist_followers,track_id,track_name,release_date,artist_genres,track_popularity,album_image
0DRiXmEOc6dJ6Rug3xi4HZ,THE NEW SIX,42,153969,5JDfcFU6lCYU7jQJ8dDo8v,Love or Die,2023-02-15,['k-pop boy group'],52,https://i.scdn.co/image/ab67616d00001e02d2492ea0286764c362354c61
6QHP8St0MzfNDqjKpwtMht,xikers,49,277703,49wfLT6fr1h53dNxIVENX5,Oh My Gosh,2023-03-30,['k-pop boy group'],48,https://i.scdn.co/image/ab67616d00001e02eb555e6d83960e5d082c9d73
1gBUSTR3TyDdTVFIaQnc02,NCT DREAM,70,7391266,7ik0uSROwZ9hxoFGsw6uPs,Skateboard,2023-07-17,['k-pop boy group'],48,https://i.scdn.co/image/ab67616d00001e02a1ee973dde5ec47914ebc0e1
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,76,3614292,2KsiPmkW27MalI0SqC64eI,"Eve, Psyche & the Bluebeard?ôs wife (feat. UPSAHL)",2023-07-14,['k-pop girl group'],53,https://i.scdn.co/image/ab67616d00001e02c6923643604062f71f9b03b0
28ot3wh4oNmoFOdVajibBl,NMIXX,63,2131236,5AgwBbICmOVLhl95tBiOg0,Just Did It,2023-03-20,"['k-pop', 'k-pop girl group']",50,https://i.scdn.co/image/ab67616d00001e024b32002f8a5e4ee2a5db5ace
01XYiBYaoMJcNhPokrg0l0,STAYC,61,1611711,3bcqk74mnFzQF2bfOMG7iK,ÔªøBubble (English Ver.),2023-08-16,"['k-pop', 'k-pop girl group']",48,https://i.scdn.co/image/ab67616d00001e0205f3e920cfd3ae7fe9192149
1khChLj7REGqjM043PlYyn,Xdinary Heroes,57,862401,6yzHKyNLHZQDZzTuQrRF0G,Dear H.,2023-04-26,['k-pop boy group'],52,https://i.scdn.co/image/ab67616d00001e0276c49f72166e22b3eefc2804
1oSPZhvZMIrWW5I41kPkkY,Jimin,81,6948238,6USCIAcTHT2RMom8qXqMyk,"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Sped Up",2023-05-01,['k-pop'],54,https://i.scdn.co/image/ab67616d00001e0218280ebb737e64644fb0be6f
6UBA15slIuadJ8h2lPRPos,Tech N9ne,65,2744091,3OFmFAEAfxNyJRAW0wLmfb,Knock,2023-07-28,"['detroit hip hop', 'kansas city hip hop', 'pop rap']",44,https://i.scdn.co/image/ab67616d00001e0243509b14f9b6217183baa771
0IwZVmMMGE7nNXS7vN9SIo,MISAMO,57,502490,2dHHrb7PVObPb4YWxGilXZ,Bouquet,2023-01-25,['k-pop girl group'],57,https://i.scdn.co/image/ab67616d00001e02bbe1f2cab2a4e00052be56e9
7Lq3yAtwi0Z7zpxEwbQQNZ,VIVIZ,56,385003,5gWMqMujZfM4LxTpytCrAh,Day by day,2023-11-02,"['k-pop', 'k-pop girl group']",52,https://i.scdn.co/image/ab67616d00001e02047aaa5b1361b255b255e41d
5e9SnnT1mabuWwjwu6FrZD,Youth Fountain,45,34045,4BmI59bDQEDaKKvkTeKAf3,Requiem,2023-11-03,"['anthem emo', 'canadian pop punk', 'easycore', 'kelowna bc indie', 'pop punk', 'vancouver punk']",45,https://i.scdn.co/image/ab67616d00001e027b7ebff9a820eac536a70266
6QHP8St0MzfNDqjKpwtMht,xikers,49,277703,1CDZC8VcIcGogq04QT9DMU,Doorbell Ringing,2023-03-30,['k-pop boy group'],47,https://i.scdn.co/image/ab67616d00001e02eb555e6d83960e5d082c9d73
68KmkJeZGfwe1OUaivBa2L,ATEEZ,69,3374196,5sIcMld4YXTlTqztVEa3hU,DIAMOND,2023-03-22,"['k-pop', 'k-pop boy group']",50,https://i.scdn.co/image/ab67616d00001e0259bee6129252e3ff045c8ffb
5Z71xE9prhpHrqL5thVMyK,tripleS,54,285350,1AtwiyjNooO4O1M4gSgqto,Moto Princess,2023-10-11,['k-pop girl group'],50,https://i.scdn.co/image/ab67616d00001e027e3a6c1ab25daa5fbd232424
5V1qsQHdXNm4ZEZHWvFnqQ,Dreamcatcher,60,1294697,4xiuarCywWiw9qESd8Y7ng,BONVOYAGE (Farewell Ver.),2023-09-14,"['k-pop', 'k-pop girl group']",49,https://i.scdn.co/image/ab67616d00001e025234c8946a3f3bc3acc9712f
5V1qsQHdXNm4ZEZHWvFnqQ,Dreamcatcher,60,1294697,7k53fIe6dzMk96hF33FFOz,Propose,2023-05-24,"['k-pop', 'k-pop girl group']",50,https://i.scdn.co/image/ab67616d00001e027a95bc64165227445ad40054
1XujSdsxykPhP3dn6HaT4l,PARK WON,42,117162,3YP99J8wTzG55t1cFmd6iq,It's You,2023-08-24,['korean pop'],58,https://i.scdn.co/image/ab67616d00001e02ae84ed913724e9067300de4e
49tkHHS0mXwa5eLYvyvKyd,I.M,43,364053,5pGRo6KdVdD4LCg6A6awQT,OVERDRIVE,2023-06-23,['k-pop'],51,https://i.scdn.co/image/ab67616d00001e028fed506fac7d9af9b216a782
1sjw4xq2pAWy5Vdgba5QAt,HENRY,53,510642,2T23r4De9TGsNRF4u7tU8p,MOONLIGHT,2023-01-11,['k-pop'],50,https://i.scdn.co/image/ab67616d00001e0234393e814e49dfbb11ccb024
0b1sIQumIAsNbqAoIClSpy,j-hope,68,16590748,2iKNuOB4pI4HgPsJk0BSsq,Pandora's Box,2023-08-18,"['k-pop', 'k-rap']",53,https://i.scdn.co/image/ab67616d00001e02e58c1f0d918bea50ad7b2de6
6UBA15slIuadJ8h2lPRPos,Tech N9ne,65,2744091,6Ksg3UYuF9OHv7T89Yiull,Wind Me Up,2023-10-31,"['detroit hip hop', 'kansas city hip hop', 'pop rap']",43,https://i.scdn.co/image/ab67616d00001e029c49a3c3ab083f69e8c53915
2zhossaaVN2pXg5p8o101X,Bien,53,144113,3PemVHtCIb5abITSvos4Bq,Ma Cherie,2023-10-26,"['kenyan pop', 'kenyan r&b']",57,https://i.scdn.co/image/ab67616d00001e02d8d9924d93e0381e56ec0cb7
4TEK9tIkcoxib4GxT3O4ky,KISS OF LIFE,60,288714,6MiodzZmp1bKamgF3qhmre,Kitty Cat (JULIE Solo),2023-07-05,['k-pop girl group'],52,https://i.scdn.co/image/ab67616d00001e022ff7c76b0790cd3ad63cfc0c
5Z71xE9prhpHrqL5thVMyK,tripleS,54,285350,1d8e5R5In6clY1iuqEncTk,Speed Love,2023-08-17,['k-pop girl group'],49,https://i.scdn.co/image/ab67616d00001e028750055ba0503145b3e247e5
3CVYSpM7nfHFG5qCTW7Ht9,ONEUS,53,928869,0KjwSPOY3Qvdmi0NrCm8gM,Baila Conmigo (Spanish ver.),2023-09-26,"['k-pop', 'k-pop boy group']",50,https://i.scdn.co/image/ab67616d00001e02290eace20077b044442383d0
2hRQKC0gqlZGPrmUKbcchR,SHINee,61,3110369,6WLEE2iZGMB3bVemgl1Kqc,Satellite,2023-06-26,"['k-pop', 'k-pop boy group']",50,https://i.scdn.co/image/ab67616d00001e0286fe9fe6eaab4083b32adf9f
