Playlist,Playlist ID,Playlist Creator ID,Artist,Track,Artist ID,Track ID
K-Pop Mix,37i9dQZF1EQpesGsmIyqcW,spotify,ENHYPEN,Sweet Venom,5t5FqBwTcgKTaWmfEbwQY9,2YmfV4lAjrAQvuggKCUX6m
K-Pop Mix,37i9dQZF1EQpesGsmIyqcW,spotify,GOT7,Just Right,6nfDaffa50mKtEOwR8g4df,16dL6zhP5MLxEwX8sbqCOa
K-Pop Mix,37i9dQZF1EQpesGsmIyqcW,spotify,EXID,I Love You,1xs6WFotNQSXweo0GXrS0O,7n2HVHWqFsyAOs5HqmE1Dl
K-Pop Mix,37i9dQZF1EQpesGsmIyqcW,spotify,CHUNG HA,Snapping,2PSJ6YriU7JsFucxACpU7Y,4IOxk5ep5ONrdlL0ZIy64v
K-Pop Mix,37i9dQZF1EQpesGsmIyqcW,spotify,SUNMI,Heroine,6MoXcK2GyGg7FIyxPU5yW6,5gA9Xn8oPts2aewPgxVkPD
K-Pop Mix,37i9dQZF1EQpesGsmIyqcW,spotify,Red Velvet - IRENE & SEULGI,Naughty,6bwp9ObI8FWvMPCIWVBmhl,0P8lbWigAHXPKxUG60xh79
K-Pop Mix,37i9dQZF1EQpesGsmIyqcW,spotify,ENHYPEN,Drunk-Dazed,5t5FqBwTcgKTaWmfEbwQY9,1wcr8DjnN59Awev8nnKpQ4
K-Pop Mix,37i9dQZF1EQpesGsmIyqcW,spotify,EXO,LOVE ME RIGHT,3cjEqqelV9zb4BYE3qDQ4O,1kFevEv3s7Gf6o5xSDR5DL
K-Pop Mix,37i9dQZF1EQpesGsmIyqcW,spotify,BTS,Life Goes On,3Nrfpe0tUJi4K4DXYWgMUX,5FVbvttjEvQ8r2BgUcJgNg
K-Pop Mix,37i9dQZF1EQpesGsmIyqcW,spotify,JENNIE,SOLO,250b0Wlc5Vk0CoUsaCY84M,2wVDWtLKXunswWecARNILj
K-Pop Mix,37i9dQZF1EQpesGsmIyqcW,spotify,Red Velvet,Ice Cream Cake,1z4g3DjTBBZKhvAroFlhOM,5vCuawHQ8Poch1odz9JDpB
K-Pop Mix,37i9dQZF1EQpesGsmIyqcW,spotify,WayV,Love Talk - English Version,1qBsABYUrxg9afpMtyoFKz,2e3cJdJ8xWwydl8JIYlCqB
K-Pop Mix,37i9dQZF1EQpesGsmIyqcW,spotify,SUPER JUNIOR,Lo Siento,6gzXCdfYfFe5XKhPKkYqxV,2VVqxQhALecXvaArlZSVXr
K-Pop Mix,37i9dQZF1EQpesGsmIyqcW,spotify,OH MY GIRL,Dolphin,2019zR22qK2RBvCqtudBaI,3NfgdU9mbIVhcJF3XvC0c9
K-Pop Mix,37i9dQZF1EQpesGsmIyqcW,spotify,BTS,DNA,3Nrfpe0tUJi4K4DXYWgMUX,3uRLwBjI2TahxslcMTvpFs
K-Pop Mix,37i9dQZF1EQpesGsmIyqcW,spotify,EXO-K,MAMA,6wPBIyIIMxoqgux29bGF8I,1EvB6tE5CHluLZaWm3r0bT
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,ATEEZ,Crazy Form,68KmkJeZGfwe1OUaivBa2L,2KoeSRTm9cRulYnkaEyUaP
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,TAEYEON,To. X,3qNVuliS40BLgXGxhdBdqu,2gyCwrOcC6JBoaJ8JGJ7T8
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,DINO,Wait,5YaeXxzvqGNBCguELlKo6G,1KkC3Nzxv3OZorm5m1843p
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,ENHYPEN,Sweet Venom,5t5FqBwTcgKTaWmfEbwQY9,2YmfV4lAjrAQvuggKCUX6m
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,BABYMONSTER,BATTER UP,1SIocsqdEefUTE6XKGUiVS,3VBj0lzjmhTzVFPEDOjNCG
K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1,spotify,LE SSERAFIM,Perfect Night,4SpbR6yFEvexJuaBpgAU5p,74X2u8JMVooG2QbjRxXwR8
