Playlist ID,Playlist Owner ID,Artist ID,Track ID,Playlist,Artist,Track
37i9dQZF1EQpesGsmIyqcW,spotify,5t5FqBwTcgKTaWmfEbwQY9,2YmfV4lAjrAQvuggKCUX6m,K-Pop Mix,ENHYPEN,Sweet Venom
37i9dQZF1EQpesGsmIyqcW,spotify,6nfDaffa50mKtEOwR8g4df,16dL6zhP5MLxEwX8sbqCOa,K-Pop Mix,GOT7,Just Right
37i9dQZF1EQpesGsmIyqcW,spotify,1xs6WFotNQSXweo0GXrS0O,7n2HVHWqFsyAOs5HqmE1Dl,K-Pop Mix,EXID,I Love You
37i9dQZF1EQpesGsmIyqcW,spotify,2PSJ6YriU7JsFucxACpU7Y,4IOxk5ep5ONrdlL0ZIy64v,K-Pop Mix,CHUNG HA,Snapping
37i9dQZF1EQpesGsmIyqcW,spotify,6MoXcK2GyGg7FIyxPU5yW6,5gA9Xn8oPts2aewPgxVkPD,K-Pop Mix,SUNMI,Heroine
37i9dQZF1EQpesGsmIyqcW,spotify,6bwp9ObI8FWvMPCIWVBmhl,0P8lbWigAHXPKxUG60xh79,K-Pop Mix,Red Velvet - IRENE & SEULGI,Naughty
37i9dQZF1EQpesGsmIyqcW,spotify,5t5FqBwTcgKTaWmfEbwQY9,1wcr8DjnN59Awev8nnKpQ4,K-Pop Mix,ENHYPEN,Drunk-Dazed
37i9dQZF1EQpesGsmIyqcW,spotify,3cjEqqelV9zb4BYE3qDQ4O,1kFevEv3s7Gf6o5xSDR5DL,K-Pop Mix,EXO,LOVE ME RIGHT
37i9dQZF1EQpesGsmIyqcW,spotify,3Nrfpe0tUJi4K4DXYWgMUX,5FVbvttjEvQ8r2BgUcJgNg,K-Pop Mix,BTS,Life Goes On
37i9dQZF1EQpesGsmIyqcW,spotify,250b0Wlc5Vk0CoUsaCY84M,2wVDWtLKXunswWecARNILj,K-Pop Mix,JENNIE,SOLO
37i9dQZF1EQpesGsmIyqcW,spotify,1z4g3DjTBBZKhvAroFlhOM,5vCuawHQ8Poch1odz9JDpB,K-Pop Mix,Red Velvet,Ice Cream Cake
37i9dQZF1EQpesGsmIyqcW,spotify,1qBsABYUrxg9afpMtyoFKz,2e3cJdJ8xWwydl8JIYlCqB,K-Pop Mix,WayV,Love Talk - English Version
37i9dQZF1EQpesGsmIyqcW,spotify,6gzXCdfYfFe5XKhPKkYqxV,2VVqxQhALecXvaArlZSVXr,K-Pop Mix,SUPER JUNIOR,Lo Siento
37i9dQZF1EQpesGsmIyqcW,spotify,2019zR22qK2RBvCqtudBaI,3NfgdU9mbIVhcJF3XvC0c9,K-Pop Mix,OH MY GIRL,Dolphin
37i9dQZF1EQpesGsmIyqcW,spotify,3Nrfpe0tUJi4K4DXYWgMUX,3uRLwBjI2TahxslcMTvpFs,K-Pop Mix,BTS,DNA
37i9dQZF1EQpesGsmIyqcW,spotify,6wPBIyIIMxoqgux29bGF8I,1EvB6tE5CHluLZaWm3r0bT,K-Pop Mix,EXO-K,MAMA
37i9dQZF1DX9tPFwDMOaN1,spotify,68KmkJeZGfwe1OUaivBa2L,2KoeSRTm9cRulYnkaEyUaP,K-Pop ON! (온),ATEEZ,Crazy Form
37i9dQZF1DX9tPFwDMOaN1,spotify,3qNVuliS40BLgXGxhdBdqu,2gyCwrOcC6JBoaJ8JGJ7T8,K-Pop ON! (온),TAEYEON,To. X
37i9dQZF1DX9tPFwDMOaN1,spotify,5YaeXxzvqGNBCguELlKo6G,1KkC3Nzxv3OZorm5m1843p,K-Pop ON! (온),DINO,Wait
37i9dQZF1DX9tPFwDMOaN1,spotify,5t5FqBwTcgKTaWmfEbwQY9,2YmfV4lAjrAQvuggKCUX6m,K-Pop ON! (온),ENHYPEN,Sweet Venom
37i9dQZF1DX9tPFwDMOaN1,spotify,1SIocsqdEefUTE6XKGUiVS,3VBj0lzjmhTzVFPEDOjNCG,K-Pop ON! (온),BABYMONSTER,BATTER UP
37i9dQZF1DX9tPFwDMOaN1,spotify,4SpbR6yFEvexJuaBpgAU5p,74X2u8JMVooG2QbjRxXwR8,K-Pop ON! (온),LE SSERAFIM,Perfect Night
37i9dQZF1DX9tPFwDMOaN1,spotify,0CmvFWTX9zmMNCUi6fHtAx,3UQw1V8gM5YihFDcnjNkWN,K-Pop ON! (온),THE BOYZ,WATCH IT
37i9dQZF1DX9tPFwDMOaN1,spotify,6YVMFz59CuY7ngCxTxjpxE,5XWlyfo0kZ8LF7VSyfS4Ew,K-Pop ON! (온),aespa,Drama
37i9dQZF1DX9tPFwDMOaN1,spotify,1slszTGbkp1uNnI6G5uD0X,00Ba2PRFeih7voe93Bf5mk,K-Pop ON! (온),BANG YEDAM,Only One
37i9dQZF1DX9tPFwDMOaN1,spotify,2o8gT0fQmFxGNbowbdgeZe,5izX3yhDZHqQFi8p2m6RHi,K-Pop ON! (온),DPR IAN,Don't Go Insane
37i9dQZF1DX9tPFwDMOaN1,spotify,2dIgFjalVxs4ThymZ67YCE,1OG1NoKpZZLrMqMYCk9m84,K-Pop ON! (온),Stray Kids,LALALALA
37i9dQZF1DX9tPFwDMOaN1,spotify,6HaGTQPmzraVmaVxvz6EUc,0VPFT123HKoQ2J6ipeDcI1,K-Pop ON! (온),Jung Kook,Standing Next to You (Usher Remix)
37i9dQZF1DX9tPFwDMOaN1,spotify,6Xg22wJOAcnvPUfk5WvODH,4loUHO28CuvSbEiZXId1BD,K-Pop ON! (온),JEON SOYEON,NOBODY
37i9dQZF1DX9tPFwDMOaN1,spotify,1z4g3DjTBBZKhvAroFlhOM,68gQG2HpRMxIRom4pCugMq,K-Pop ON! (온),Red Velvet,Chill Kill
37i9dQZF1DX9tPFwDMOaN1,spotify,13rF01aOogvnkuQXOlgTW8,4jMwQaDiDICry8Ia1gFnAn,K-Pop ON! (온),TAEMIN,Guilty
37i9dQZF1DX9tPFwDMOaN1,spotify,6HaGTQPmzraVmaVxvz6EUc,2mHw0KoEyDw8Yaw3yPoke6,K-Pop ON! (온),Jung Kook,3D (Justin Timberlake Remix)
37i9dQZF1DX9tPFwDMOaN1,spotify,4TEK9tIkcoxib4GxT3O4ky,7AGq5qaaF9awHDaKuCvVjj,K-Pop ON! (온),KISS OF LIFE,Bad News
37i9dQZF1DX9tPFwDMOaN1,spotify,7Lq3yAtwi0Z7zpxEwbQQNZ,618OKP1lBkNJL8uZdNSvQE,K-Pop ON! (온),VIVIZ,MANIAC
37i9dQZF1DX9tPFwDMOaN1,spotify,6RHTUrRF63xao58xh9FXYJ,7uyeEbG6hyApgXuEypGcsZ,K-Pop ON! (온),IVE,Baddie
37i9dQZF1DX9tPFwDMOaN1,spotify,6aLdhHUqgdKE86xbtNmY8g,7hYGWflgiI2aa25jOgL6eg,K-Pop ON! (온),Crush,Hmm-cheat
37i9dQZF1DX9tPFwDMOaN1,spotify,7cjg7EkeZy3OI5o9Qthc6n,2qiWQf7ka0C4XoA7JAZ1q5,K-Pop ON! (온),ZEROBASEONE,CRUSH
37i9dQZF1DX9tPFwDMOaN1,spotify,7nqOGRxlXj7N2JYbgNEjYH,4MTNimMDRyFZv37Thcktwa,K-Pop ON! (온),SEVENTEEN,God of Music
37i9dQZF1DX9tPFwDMOaN1,spotify,2AfmfGFbe0A0WsTYm0SDTx,3F2BLyGt6zYLrHYpbdTw5L,K-Pop ON! (온),(G)I-DLE,I Want That
37i9dQZF1DX9tPFwDMOaN1,spotify,6OwKE9Ez6ALxpTaKcT5ayv,1qosh64U6CR5ki1g1Rf2dZ,K-Pop ON! (온),AKMU,Love Lee
