artist_name,artist_id,track_name,track_id,track_popularity
george,2pRZp2WxvnWWiSPcSSYkNV,ANYWHERE ANYTIME,67sYclP23NAkhQwYciJd16,47
Xenia Manasseh,2J4IvVbi2h1wB2A0p5kd86,I Lay (feat. Xenia Manasseh),3OfnodXWoUyR7bgKckTe5p,46
MAMAMOO+,2uGx10VkBrI3GBvnQl81du,dangdang,4wp725MlpbUiyn1NcTMHJ6,48
tripleS,5Z71xE9prhpHrqL5thVMyK,New Look,79mHno2xjCr4Br0KvRPcdb,46
KEY,6XXKPxRX2WWPPtfodzpc2v,Intoxicating,58FJAeW57iNe6K34hcOAu8,45
Yll Limani,2qI59HaiEtvev8vnUkmRpT,Per kon je zbukuru,3dETUH3KaqOo8Hgyne8LkR,56
MONSTA X,4TnGh5PKbSjpYqpIdlW5nz,Deny,7Kg8zkls7jEP5H89mCG1vz,44
Epik High,5snNHNlYT2UrtZo5HCJkiw,On My Way (Feat. Jackson Wang),5vaR767DFNrbwosqbdJRD0,44
Tech N9ne,6UBA15slIuadJ8h2lPRPos,Badge Of Honor,00zTOKDOuVKuwOe7lSBble,39
Majid Almohandis,2YquYFTCdzTnrcxZzzrNbj,جننت قلبي,6PnSITYfgUE5vTCLRy3Y8S,48
WOODZ,6y9nlaoynxSvoTGY09Vdcy,Deep Deep Sleep,3Lqqyxa50G38xD98547B1Z,45
TAEYEON,3qNVuliS40BLgXGxhdBdqu,Melt Away,2cZtazNq0IRRFymK7UaRa0,55
TAEYEON,3qNVuliS40BLgXGxhdBdqu,Burn It Down,1y8tPIOh9kR3eQE6TeBCwe,54
TAEYEON,3qNVuliS40BLgXGxhdBdqu,Nightmare,3dmZOzXDFXEZXdjPqJJPKt,53
TAEYEON,3qNVuliS40BLgXGxhdBdqu,To. X,2gyCwrOcC6JBoaJ8JGJ7T8,59
A.C.E,25KT93FeotUTHC1dbLasxi,Effortless (Kor Ver.),3IXVEDbNRgOgdHYh1vXLeh,45
