danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,url,track_href,analysis_url,duration_ms,time_signature,uri
0.812,0.749,10,-6.389,0,0.0397,0.108,0,0.0599,0.841,134.971,audio_features,56v8WEnGzLByGsDAXDiv4d,,https://api.spotify.com/v1/tracks/56v8WEnGzLByGsDAXDiv4d,https://api.spotify.com/v1/audio-analysis/56v8WEnGzLByGsDAXDiv4d,151373,4,spotify:track:56v8WEnGzLByGsDAXDiv4d
0.623,0.755,7,-5.386,1,0.0415,0.00306,0,0.387,0.32,119.957,audio_features,0u8rZGtXJrLtiSe34FPjGG,,https://api.spotify.com/v1/tracks/0u8rZGtXJrLtiSe34FPjGG,https://api.spotify.com/v1/audio-analysis/0u8rZGtXJrLtiSe34FPjGG,212254,4,spotify:track:0u8rZGtXJrLtiSe34FPjGG
0.804,0.771,9,-4.067,0,0.0433,0.357,3.07E-06,0.108,0.739,126.956,audio_features,65FftemJ1DbbZ45DUfHJXE,,https://api.spotify.com/v1/tracks/65FftemJ1DbbZ45DUfHJXE,https://api.spotify.com/v1/audio-analysis/65FftemJ1DbbZ45DUfHJXE,212253,4,spotify:track:65FftemJ1DbbZ45DUfHJXE
0.783,0.592,11,-8.332,0,0.0331,0.435,4.15E-06,0.347,0.726,120.018,audio_features,7FbrGaHYVDmfr7KoLIZnQ7,,https://api.spotify.com/v1/tracks/7FbrGaHYVDmfr7KoLIZnQ7,https://api.spotify.com/v1/audio-analysis/7FbrGaHYVDmfr7KoLIZnQ7,174253,4,spotify:track:7FbrGaHYVDmfr7KoLIZnQ7
0.797,0.743,11,-6.005,1,0.174,0.164,1.20E-06,0.164,0.768,114.878,audio_features,0k0GtcnyQLMiXrdEDbLXmJ,,https://api.spotify.com/v1/tracks/0k0GtcnyQLMiXrdEDbLXmJ,https://api.spotify.com/v1/audio-analysis/0k0GtcnyQLMiXrdEDbLXmJ,146685,4,spotify:track:0k0GtcnyQLMiXrdEDbLXmJ
0.787,0.573,9,-6.197,1,0.0606,0.0147,1.72E-05,0.0926,0.575,111.996,audio_features,6gcuJpHu0Ey30D5WR76y98,,https://api.spotify.com/v1/tracks/6gcuJpHu0Ey30D5WR76y98,https://api.spotify.com/v1/audio-analysis/6gcuJpHu0Ey30D5WR76y98,179164,4,spotify:track:6gcuJpHu0Ey30D5WR76y98
0.65,0.679,1,-5.557,0,0.0477,0.286,0,0.136,0.256,106.059,audio_features,5KfJvZ0PZzRdwFRaTUDAA7,,https://api.spotify.com/v1/tracks/5KfJvZ0PZzRdwFRaTUDAA7,https://api.spotify.com/v1/audio-analysis/5KfJvZ0PZzRdwFRaTUDAA7,168600,4,spotify:track:5KfJvZ0PZzRdwFRaTUDAA7
0.781,0.655,2,-7.073,0,0.0457,0.114,0.00249,0.103,0.493,113.031,audio_features,06Qo2fYR2KS1F7bL338iVT,,https://api.spotify.com/v1/tracks/06Qo2fYR2KS1F7bL338iVT,https://api.spotify.com/v1/audio-analysis/06Qo2fYR2KS1F7bL338iVT,170995,4,spotify:track:06Qo2fYR2KS1F7bL338iVT
0.807,0.721,4,-6.211,0,0.0508,0.51,0.00216,0.115,0.532,134.014,audio_features,6rdkCkjk6D12xRpdMXy0I2,,https://api.spotify.com/v1/tracks/6rdkCkjk6D12xRpdMXy0I2,https://api.spotify.com/v1/audio-analysis/6rdkCkjk6D12xRpdMXy0I2,108987,4,spotify:track:6rdkCkjk6D12xRpdMXy0I2
0.644,0.872,6,-1.54,0,0.0417,0.164,0,0.363,0.378,131.016,audio_features,5XWlyfo0kZ8LF7VSyfS4Ew,,https://api.spotify.com/v1/tracks/5XWlyfo0kZ8LF7VSyfS4Ew,https://api.spotify.com/v1/audio-analysis/5XWlyfo0kZ8LF7VSyfS4Ew,214973,4,spotify:track:5XWlyfo0kZ8LF7VSyfS4Ew
